zip,declared_valuation
8.0,6874.74
1803.0,2168000.0
2103.0,9700.0
2104.0,22309.0
2108.0,2242497482.45
2109.0,4215898666.2599998
2110.0,7469837375.09
2111.0,4093084609.93
2113.0,395429360.03
2114.0,12999770487.63
2115.0,12667840217.38
2116.0,11444910022.63
2117.0,301781.74
2118.0,9785597293.92
2119.0,3182049610.61
2120.0,1841312770.28
2121.0,724037506.54
2122.0,3488879485.54
2123.0,8665.5
2124.0,1576403126.6
2125.0,3148897173.21
2126.0,947385027.87
2127.0,5580207308.46
2128.0,6104217336.48
2129.0,3710711534.46
2130.0,3108583573.97
2131.0,1294015218.24
2132.0,1443885768.36
2133.0,758857.0
2134.0,6399965465.94
2135.0,6243327140.25
2136.0,1100706843.14
2137.0,1026800.0
2151.0,60880.0
2158.0,5500.0
2163.0,686002205.81
2199.0,1961598897.5
2201.0,27914584.6
2203.0,20940779.0
2210.0,21671527816.69
2215.0,12888556266.58
2222.0,183350.0
2446.0,7000.0
2467.0,497708190.54
2468.0,2000.0
8091.0,4000.0
