zip,CHANGE_IN_VALUE
2108.0,1464080.2378764856
2109.0,1341933.6081582145
2110.0,1293127.3483561333
2111.0,1081433.1694934643
2113.0,392876.29776666744
2114.0,1320124.1563617596
2115.0,2344732.7161519825
2116.0,1279765.9369133576
2118.0,700985.4837348519
2119.0,501936.973127119
2120.0,1101849.798103577
2121.0,378876.8479393583
2122.0,366854.1159773963
2124.0,421012.2735385007
2125.0,550656.8371975776
2126.0,341056.3347358226
2127.0,616174.8199731505
2128.0,445901.73391058145
2129.0,622031.1727413092
2130.0,463183.0216528302
2131.0,302584.48766841274
2132.0,363359.8465328696
2133.0,69300900.0
2134.0,721812.0128114823
2135.0,529133.1097856938
2136.0,275685.85913937184
2137.0,6852200.0
2199.0,2894456.666666668
2210.0,2581753.7809644947
2215.0,1769859.0497218026
2445.0,936254.6153846154
2446.0,393368.18181818177
2467.0,267555.64700098324
