PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
1001115010,2018,3640.0,2015.0,4.0,2015.0,0.0,-3.0,-71.1004256,42.32963167
1001711000,2022,3351.0,2019.0,8.0,2019.0,0.0,-3.0,-71.1086606,42.32478867
1001883000,2018,3596.0,2012.0,8.0,2012.0,-99.0,-1.0,-71.10542882,42.32505497
1001890000,2022,1897.2,2019.0,4.0,2019.0,203.20000000000005,-1.0,-71.10537793,42.32466972
1002086010,2013,2094.0,1995.0,3.0,2017.0,0.0,-1.0,-71.11063061,42.32370866
1100199000,2013,4146.0,2010.0,6.0,2010.0,-291.0,-1.0,-71.0920466,42.32397667
1100640000,2011,2349.0,2008.0,3.0,2018.0,0.0,-2.0,-71.0954506,42.32659867
1101318000,2010,0.0,2000.0,5.0,2015.0,-2244.0,-2.0,-71.1000906,42.31600866
1102391000,2013,5834.0,2011.0,7.0,2011.0,0.0,-1.0,-71.1006655,42.31164913
1102568000,2012,796.0,1996.0,2.0,2013.0,-491.0,-1.0,-71.10628802,42.30892108
1103274000,2023,2595.7,2021.0,5.0,2021.0,-10.300000000000182,-1.0,-71.11414061,42.30472066
1103548000,2018,2457.0,2016.0,5.0,2016.0,0.0,-1.0,-71.11695061,42.30701866
1200255000,2018,3443.0,2010.0,7.0,2010.0,0.0,-1.0,-71.0804806,42.32340867
1203088000,2012,4815.0,2010.0,9.0,2010.0,0.0,-3.0,-71.0917406,42.31077866
1203391000,2018,3668.0,2016.0,8.0,2016.0,0.0,-1.0,-71.0895906,42.31737866
1301245000,2022,2313.4,2020.0,4.0,2020.0,0.4000000000000909,-1.0,-71.06891059,42.31650866
1301571000,2022,2068.0,2019.0,3.0,2019.0,0.0,-2.0,-71.06032059,42.31143866
1302321000,2023,1592.0,2021.0,2.0,2021.0,0.0,-1.0,-71.04629058,42.30935866
1302482000,2022,3457.4,2013.0,6.0,2013.0,0.4000000000000909,-1.0,-71.04972058,42.30877866
1302593000,2018,2525.0,2016.0,3.0,2016.0,281.0,-2.0,-71.04746058,42.31142866
1303172000,2022,2010.0,2015.0,3.0,2015.0,50.0,-1.0,-71.05302059,42.31710866
1401126000,2018,2464.0,2013.0,6.0,2013.0,52.0,-1.0,-71.07556198,42.30463725
1401577000,2023,2924.0,2020.0,5.0,2020.0,0.0,-1.0,-71.07791059,42.30057866
1401952000,2023,4360.0,2020.0,8.0,2020.0,0.0,-1.0,-71.0848806,42.29602866
1402259000,2012,2282.0,2010.0,6.0,2010.0,0.0,-1.0,-71.07964059,42.29343866
1402293000,2023,2769.6,2021.0,4.0,2021.0,129.5999999999999,-2.0,-71.07950059,42.29439866
1402526000,2020,4008.0,2018.0,9.0,2018.0,-72.0,-1.0,-71.0838106,42.30075866
1402549000,2018,3233.0,2011.0,7.0,2011.0,-160.0,-1.0,-71.0826406,42.29982866
1501779000,2018,1710.0,2012.0,3.0,2012.0,12.0,-2.0,-71.06694059,42.30787866
1502136000,2012,462.0,2010.0,1.0,2010.0,-1989.0,-6.0,-71.07015479,42.30665302
1600929001,2022,3148.0,2020.0,5.0,2020.0,4.0,-3.0,-71.06116059,42.29529866
1601157000,2018,4498.0,2015.0,8.0,2015.0,0.0,-1.0,-71.06172498,42.29225433
1601301000,2020,5460.0,2015.0,9.0,2015.0,5460.0,-5.0,-71.06302059,42.29260866
1602142000,2022,2143.2,2019.0,3.0,2019.0,108.19999999999982,-1.0,-71.05246058,42.29054866
1602238000,2018,2583.0,2016.0,3.0,2016.0,-70.0,-4.0,-71.05048058,42.29173866
1602444000,2018,1840.0,2012.0,2.0,2012.0,-92.0,-2.0,-71.04462058,42.28685866
1603198000,2018,1242.0,2016.0,2.0,2016.0,0.0,-1.0,-71.05528059,42.28682866
1603558000,2019,1808.0,2010.0,3.0,2010.0,0.0,-1.0,-71.05095058,42.28654866
1604115000,2022,3206.0,2019.0,4.0,2019.0,804.0,-1.0,-71.04868058,42.28505866
