PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
1000091000,2023,3045.0,2021.0,8.0,2021.0,801.0,4.0,-71.1028506,42.33413867
1000101000,2018,3254.0,2012.0,11.0,2012.0,638.0,5.0,-71.1025706,42.33458867
1000440000,2018,2552.0,2015.0,10.0,2015.0,0.0,6.0,-71.0981706,42.32974867
1000447000,2019,3088.0,2017.0,12.0,2017.0,1008.0,7.0,-71.0977206,42.32989867
1000448000,2018,2620.0,2017.0,6.0,2017.0,22.0,2.0,-71.0979506,42.33001867
1000631000,2013,3725.0,2009.0,11.0,2009.0,0.0,5.0,-71.1042306,42.33199867
1000679000,2018,2729.0,2015.0,10.0,2015.0,0.0,5.0,-71.1026006,42.33096867
1000701000,2018,5457.0,2014.0,12.0,2014.0,2009.0,7.0,-71.0998306,42.32975867
1000763000,2012,3102.0,2010.0,12.0,2010.0,0.0,4.0,-71.1036676,42.33100667
1001139000,2018,4241.0,2014.0,8.0,2014.0,0.0,1.0,-71.09934768,42.32825748
1001218000,2018,3516.0,2012.0,10.0,2012.0,807.0,4.0,-71.0996206,42.32780867
1001410000,2018,3564.0,2014.0,11.0,2014.0,0.0,3.0,-71.11043061,42.33275867
1001450100,2018,1457.0,2015.0,4.0,2015.0,0.0,1.0,-71.10775638,42.32853882
1001934000,2018,1182.0,2015.0,4.0,2015.0,0.0,2.0,-71.1072606,42.32445867
1001972020,2023,3192.0,2021.0,6.0,2021.0,0.0,1.0,-71.1078106,42.32435867
1002068000,2020,2317.0,2018.0,5.0,2018.0,101.0,1.0,-71.11085061,42.32412466
1002086010,2018,2094.0,2014.0,4.0,2014.0,0.0,1.0,-71.11063061,42.32370866
1002215000,2019,2408.0,2016.0,6.0,2016.0,398.0,4.0,-71.1013206,42.32226866
1002294000,2012,1328.0,2010.0,3.0,2010.0,0.0,1.0,-71.1051806,42.32380866
1100066000,2019,1992.0,2017.0,4.0,2017.0,0.0,1.0,-71.0951906,42.32872867
1100081000,2018,3483.0,2015.0,6.0,2015.0,554.0,2.0,-71.09468754,42.32799966
1100255000,2020,3852.0,2018.0,12.0,2018.0,18.0,5.0,-71.0911106,42.32307867
1100524000,2022,4953.25,2018.0,10.0,2018.0,1659.25,5.0,-71.0941606,42.32393866
1100619000,2023,1795.2,2021.0,5.0,2021.0,1795.2,1.0,-71.0949566,42.32609267
1100626000,2012,3540.0,2010.0,6.0,2010.0,0.0,1.0,-71.0954406,42.32633867
1100640000,2018,2349.0,2016.0,5.0,2016.0,0.0,2.0,-71.0954506,42.32659867
1100946000,2022,1596.0,2016.0,7.0,2016.0,0.0,2.0,-71.0975606,42.31804866
1101249000,2022,3455.2,2019.0,5.0,2019.0,828.1999999999998,1.0,-71.1007806,42.31753866
1101318000,2020,2244.0,2012.0,7.0,2012.0,2244.0,2.0,-71.1000906,42.31600866
1101341000,2018,3254.0,2014.0,7.0,2014.0,0.0,2.0,-71.1005506,42.31435866
1101359000,2020,3919.0,2018.0,9.0,2018.0,0.0,1.0,-71.1021206,42.31537866
1101427000,2012,3187.0,2010.0,6.0,2010.0,0.0,2.0,-71.10087908,42.31560083
1101610000,2022,4217.4,2020.0,10.0,2020.0,0.3999999999996362,5.0,-71.0963806,42.31530866
1101670000,2018,4617.0,2016.0,9.0,2016.0,-216.0,1.0,-71.0947606,42.31520866
1102029000,2020,4708.0,2018.0,9.0,2018.0,1528.0,3.0,-71.1020706,42.31228866
1102568000,2018,1287.0,2014.0,3.0,2014.0,491.0,1.0,-71.10628802,42.30892108
1102718000,2011,3588.0,2009.0,9.0,2009.0,0.0,3.0,-71.1047406,42.30272866
1102974000,2020,3519.0,2013.0,10.0,2013.0,0.0,1.0,-71.1023306,42.30865866
1103047000,2020,2431.0,2018.0,5.0,2018.0,547.0,1.0,-71.1109106,42.30720866
1103274000,2018,2606.0,2012.0,6.0,2012.0,0.0,2.0,-71.11414061,42.30472066
1103504000,2022,1630.2,2020.0,4.0,2020.0,474.2000000000001,2.0,-71.11678504,42.30568169
