PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
1000119000,2018,2256.0,2013.0,4.0,2013.0,0.0,0.0,-71.1024426,42.33412467
1000120000,2023,2148.0,2021.0,3.0,2021.0,0.0,0.0,-71.1024806,42.33407867
1000220000,2018,5538.0,2015.0,9.0,2015.0,0.0,0.0,-71.1066916,42.33511067
1000574000,2018,3088.0,2016.0,9.0,2016.0,0.0,0.0,-71.1004006,42.33219867
1000633000,2022,3807.0,2019.0,5.0,2019.0,0.0,0.0,-71.1044506,42.33208867
1000708000,2012,4262.0,2010.0,11.0,2010.0,0.0,0.0,-71.1013606,42.33092867
1000772000,2023,5184.0,2012.0,9.0,2012.0,371.0,0.0,-71.1036006,42.33132867
1000791000,2022,4844.4,2019.0,9.0,2019.0,542.3999999999996,0.0,-71.1044606,42.33101867
1000947000,2018,2916.0,2012.0,5.0,2012.0,243.0,0.0,-71.10732061,42.33199867
1000966000,2013,5067.0,2011.0,11.0,2011.0,276.0,0.0,-71.1073706,42.33144867
1001139000,2018,4241.0,2014.0,8.0,2019.0,0.0,0.0,-71.09934768,42.32825748
1001184000,2013,4360.0,2011.0,9.0,2011.0,260.0,0.0,-71.1043106,42.33065867
1001205000,2018,4173.0,2015.0,7.0,2015.0,0.0,0.0,-71.10535397,42.33083606
1001218000,2012,2709.0,2010.0,6.0,2010.0,0.0,0.0,-71.0996206,42.32780867
1001241000,2013,3678.0,2011.0,6.0,2011.0,54.0,0.0,-71.10856061,42.33175867
1001271000,2013,3693.0,2011.0,9.0,2011.0,0.0,0.0,-71.1008706,42.32667867
1001517000,2011,2254.0,2009.0,3.0,2009.0,0.0,0.0,-71.10497012,42.32638198
1001641000,2018,2179.0,2014.0,4.0,2014.0,0.0,0.0,-71.11381061,42.32430866
1001652010,2013,3696.0,2011.0,5.0,2011.0,296.0,0.0,-71.11359061,42.32344867
1001664000,2018,3336.0,2012.0,7.0,2012.0,0.0,0.0,-71.11361061,42.32388866
1001775000,2018,1584.0,2013.0,3.0,2013.0,0.0,0.0,-71.10994061,42.32423866
1001883000,2018,3695.0,2012.0,9.0,2012.0,0.0,0.0,-71.10542882,42.32505497
1001918000,2018,1550.0,2016.0,6.0,2016.0,0.0,0.0,-71.1054306,42.32427867
1001928000,2018,1433.0,2015.0,3.0,2015.0,0.0,0.0,-71.1068706,42.32447867
1001934000,2018,1182.0,2015.0,4.0,2019.0,0.0,0.0,-71.1072606,42.32445867
1001935000,2022,1182.0,2020.0,4.0,2020.0,0.0,0.0,-71.1071806,42.32438866
1001941000,2013,1718.0,2011.0,3.0,2011.0,140.0,0.0,-71.1064106,42.32412867
1001945000,2018,1656.0,2013.0,4.0,2013.0,276.0,0.0,-71.1054706,42.32354866
1001947000,2022,2030.4,2019.0,3.0,2019.0,0.4000000000000909,0.0,-71.1054406,42.32331866
1002010000,2020,2991.0,2018.0,6.0,2018.0,468.0,0.0,-71.1085406,42.32287866
1002011000,2020,2823.0,2017.0,6.0,2017.0,309.0,0.0,-71.1085506,42.32283866
1002086010,2019,2094.0,2017.0,3.0,2017.0,0.0,0.0,-71.11063061,42.32370866
1002113000,2018,3515.0,2016.0,6.0,2016.0,0.0,0.0,-71.11319061,42.32211866
1002239000,2022,2726.0,2019.0,6.0,2019.0,881.0,0.0,-71.1022906,42.32215867
1002255000,2020,3348.0,2018.0,9.0,2018.0,-180.0,0.0,-71.1032006,42.32210866
1002294000,2013,1485.0,2010.0,3.0,2014.0,157.0,0.0,-71.1051806,42.32380866
1002309000,2011,3528.0,2009.0,6.0,2009.0,678.0,0.0,-71.10464207,42.32385839
1002332000,2013,3450.0,2011.0,9.0,2011.0,0.0,0.0,-71.1046606,42.32480867
1002517000,2018,1924.0,2014.0,3.0,2014.0,0.0,0.0,-71.1055606,42.31978866
1002637000,2018,3792.0,2013.0,9.0,2013.0,0.0,0.0,-71.1023506,42.32137866
1002693000,2018,2348.0,2015.0,6.0,2015.0,0.0,0.0,-71.1050106,42.32036866
1100081000,2018,3483.0,2015.0,6.0,2019.0,0.0,0.0,-71.09468754,42.32799966
1100520000,2018,2474.0,2016.0,5.0,2016.0,0.0,0.0,-71.0948006,42.32427867
1100673002,2020,4724.0,2018.0,5.0,2018.0,-50.0,0.0,-71.0952406,42.32728867
1100689000,2010,2027.0,2009.0,4.0,2009.0,0.0,0.0,-71.0943306,42.32661867
1100714000,2011,2753.0,2009.0,4.0,2009.0,0.0,0.0,-71.0934306,42.32530867
1100718000,2018,2441.0,2016.0,6.0,2016.0,-26.0,0.0,-71.0941406,42.32567867
1100865000,2023,2280.0,2021.0,8.0,2021.0,0.0,0.0,-71.0973106,42.32423867
1100917001,2018,2470.0,2014.0,6.0,2014.0,0.0,0.0,-71.0953506,42.32185866
1101054000,2018,3206.0,2014.0,6.0,2014.0,0.0,0.0,-71.0999306,42.31785866
1101267000,2022,1902.0,2017.0,3.0,2017.0,0.0,0.0,-71.0999606,42.31665866
1101297000,2023,2386.0,2021.0,3.0,2021.0,0.0,0.0,-71.0990206,42.31592866
1101324000,2018,2442.0,2016.0,5.0,2016.0,0.0,0.0,-71.0995706,42.31546866
1101326000,2023,1834.0,2021.0,4.0,2021.0,0.0,0.0,-71.0993906,42.31529866
1101341000,2020,3254.0,2014.0,7.0,2021.0,0.0,0.0,-71.1005506,42.31435866
1101359000,2018,3919.0,2017.0,8.0,2017.0,0.0,0.0,-71.1021206,42.31537866
1101484000,2019,2144.0,2017.0,2.0,2017.0,0.0,0.0,-71.0983806,42.31326866
1101513000,2013,3206.0,2011.0,5.0,2011.0,391.0,0.0,-71.09684025,42.3124218
1101562000,2018,0.0,2011.0,6.0,2011.0,-3501.0,0.0,-71.09847407,42.31416812
1101692000,2022,1534.0,2020.0,3.0,2020.0,0.0,0.0,-71.0950806,42.31699866
1101817000,2018,2982.0,2016.0,6.0,2016.0,0.0,0.0,-71.0937806,42.31728866
1102086000,2019,1863.0,2017.0,4.0,2017.0,0.0,0.0,-71.1033506,42.31191866
1102176000,2022,2289.6,2019.0,6.0,2019.0,-0.4000000000000909,0.0,-71.1038206,42.31309866
1102197000,2019,1214.0,2017.0,2.0,2017.0,0.0,0.0,-71.1036006,42.31635866
1102265000,2020,1515.0,2018.0,3.0,2018.0,248.0,0.0,-71.1047346,42.31020766
1102292000,2018,4099.0,2015.0,7.0,2015.0,0.0,0.0,-71.1020006,42.31176866
1102337000,2022,3085.9,2020.0,4.0,2020.0,-0.099999999999909,0.0,-71.1025806,42.31034866
1102351000,2022,4102.0,2019.0,6.0,2019.0,0.0,0.0,-71.1031106,42.30925866
1102384000,2018,3177.0,2012.0,8.0,2012.0,3177.0,0.0,-71.09890724,42.31199068
1102418000,2019,4214.0,2017.0,8.0,2017.0,3.0,0.0,-71.0990306,42.31104866
1102445000,2023,2688.5,2021.0,6.0,2021.0,1058.5,0.0,-71.0999406,42.31106866
1102467000,2013,2576.0,2011.0,4.0,2011.0,3.0,0.0,-71.0992506,42.31017866
1102568000,2018,780.0,2013.0,2.0,2013.0,-16.0,0.0,-71.10628802,42.30892108
1102837000,2020,1692.0,2018.0,3.0,2018.0,156.0,0.0,-71.1065306,42.30628866
1102845000,2013,3588.0,2010.0,6.0,2010.0,0.0,0.0,-71.1057006,42.30561866
1102996000,2018,3276.0,2012.0,6.0,2012.0,0.0,0.0,-71.1005406,42.30761866
1103012000,2013,4230.0,2011.0,6.0,2011.0,0.0,0.0,-71.11488035,42.30720589
1103049000,2022,2181.0,2020.0,4.0,2020.0,0.0,0.0,-71.1112806,42.30733866
1103063000,2023,1910.0,2021.0,4.0,2021.0,308.0,0.0,-71.1105906,42.30782866
1103274000,2020,2606.0,2012.0,6.0,2021.0,0.0,0.0,-71.11414061,42.30472066
1103334000,2018,3807.0,2012.0,8.0,2012.0,1242.0,0.0,-71.11463925,42.30246488
1103339000,2018,2880.0,2013.0,5.0,2013.0,0.0,0.0,-71.11540061,42.30284866
1103354000,2013,3885.0,2011.0,8.0,2011.0,0.0,0.0,-71.11708061,42.30406866
1103365000,2022,4198.0,2019.0,7.0,2019.0,0.0,0.0,-71.11612061,42.30354866
1103373000,2018,2923.0,2012.0,4.0,2012.0,216.0,0.0,-71.11632061,42.30292866
1103605000,2013,3606.0,2011.0,6.0,2011.0,0.0,0.0,-71.11329061,42.29910866
1103627000,2023,2413.0,2021.0,5.0,2021.0,104.0,0.0,-71.1109606,42.29748866
1200080000,2018,2800.0,2014.0,5.0,2014.0,0.0,0.0,-71.0827206,42.32639867
1200121000,2012,3319.0,2010.0,5.0,2010.0,0.0,0.0,-71.0801406,42.32478867
1200253000,2020,3855.0,2018.0,6.0,2018.0,623.0,0.0,-71.0802406,42.32352867
1200256000,2018,3375.0,2015.0,7.0,2015.0,0.0,0.0,-71.0805606,42.32335867
1200278000,2012,2028.0,2010.0,6.0,2010.0,0.0,0.0,-71.0818106,42.32218867
1200333000,2023,2106.0,2021.0,4.0,2021.0,0.0,0.0,-71.0790106,42.32271867
1200412000,2019,3447.0,2017.0,4.0,2017.0,0.0,0.0,-71.0780806,42.32098867
1200438000,2022,3670.4,2019.0,7.0,2019.0,0.4000000000000909,0.0,-71.0790906,42.32063867
1200487000,2020,3197.0,2018.0,6.0,2018.0,42.0,0.0,-71.0807406,42.32055867
1200624000,2018,4440.0,2012.0,9.0,2012.0,0.0,0.0,-71.0862806,42.32318867
1200635000,2012,1703.0,2010.0,4.0,2010.0,0.0,0.0,-71.0847106,42.32361867
1200767000,2018,3576.0,2015.0,6.0,2015.0,0.0,0.0,-71.0831806,42.32170867
1200769000,2022,1527.0,2019.0,4.0,2019.0,0.0,0.0,-71.0811306,42.31981867
1200793000,2012,2621.0,2010.0,3.0,2010.0,0.0,0.0,-71.0792726,42.31942767
1200812000,2013,2564.0,2011.0,6.0,2011.0,-39.0,0.0,-71.0786106,42.31876866
1200846000,2020,1946.0,2018.0,4.0,2018.0,0.0,0.0,-71.0801386,42.31899467
1200876000,2018,4026.0,2013.0,9.0,2013.0,0.0,0.0,-71.0799506,42.31848867
1200877000,2022,4071.0,2016.0,11.0,2016.0,0.0,0.0,-71.0800606,42.31854867
1201147000,2020,1620.0,2018.0,4.0,2018.0,0.0,0.0,-71.0832606,42.31999866
1201334000,2022,1200.0,2019.0,3.0,2019.0,0.0,0.0,-71.0847206,42.32582867
1201449000,2018,2342.0,2016.0,4.0,2016.0,0.0,0.0,-71.0867206,42.32616867
1201450000,2019,3675.0,2016.0,6.0,2016.0,0.0,0.0,-71.0868206,42.32602867
1201463000,2013,1919.0,2012.0,4.0,2012.0,159.0,0.0,-71.0861206,42.32510867
1201794000,2018,3630.0,2015.0,6.0,2015.0,12.0,0.0,-71.0877106,42.31876866
1202184000,2022,3084.0,2019.0,6.0,2019.0,0.0,0.0,-71.0883906,42.31313866
1202200000,2012,3092.0,2010.0,7.0,2010.0,0.0,0.0,-71.0874606,42.31226866
1202205000,2012,5197.0,2011.0,6.0,2011.0,-40.0,0.0,-71.0864906,42.31178866
1202403000,2022,4978.0,2019.0,11.0,2019.0,0.0,0.0,-71.0863306,42.30741866
1202705000,2022,4197.0,2018.0,6.0,2018.0,0.0,0.0,-71.08310184,42.31294416
1202715000,2020,3111.0,2018.0,4.0,2018.0,0.0,0.0,-71.0823706,42.31349866
1202719000,2018,3234.0,2016.0,4.0,2016.0,0.0,0.0,-71.0815906,42.31350866
1202758000,2022,2575.6,2020.0,5.0,2020.0,-0.4000000000000909,0.0,-71.0805006,42.31359866
1202766000,2018,2409.0,2015.0,4.0,2015.0,0.0,0.0,-71.0814106,42.31425866
1202776000,2018,3213.0,2014.0,6.0,2014.0,0.0,0.0,-71.0807906,42.31426866
1202799000,2023,2628.4,2021.0,4.0,2021.0,0.4000000000000909,0.0,-71.0831406,42.31439866
1203003000,2019,2385.0,2017.0,6.0,2017.0,0.0,0.0,-71.0930106,42.31460866
1203290000,2022,3121.8,2020.0,6.0,2020.0,346.8000000000002,0.0,-71.0915606,42.31597866
1203346000,2019,3969.0,2017.0,6.0,2017.0,0.0,0.0,-71.0901506,42.31707866
1203410020,2013,4398.0,2011.0,8.0,2011.0,0.0,0.0,-71.0887706,42.31709866
1203413010,2022,4536.0,2020.0,6.0,2020.0,0.0,0.0,-71.0890806,42.31717866
1300006000,2012,3132.0,2010.0,4.0,2010.0,0.0,0.0,-71.07331059,42.32085867
1300273000,2018,2253.0,2012.0,5.0,2012.0,-266.0,0.0,-71.07517059,42.31848867
1300318000,2020,3360.0,2018.0,7.0,2018.0,0.0,0.0,-71.07625118,42.32038632
1300513000,2018,4532.0,2012.0,12.0,2012.0,279.0,0.0,-71.07512059,42.31778867
1300538000,2022,3043.7,2019.0,6.0,2019.0,-0.3000000000001819,0.0,-71.07385059,42.31776867
1300542000,2013,2554.0,2011.0,4.0,2011.0,213.0,0.0,-71.07347059,42.31743867
1300712000,2018,1638.0,2011.0,5.0,2011.0,315.0,0.0,-71.07757059,42.31472866
1300774001,2011,4270.0,2009.0,9.0,2009.0,0.0,0.0,-71.07644059,42.31287866
1300783000,2022,4038.0,2019.0,3.0,2019.0,0.0,0.0,-71.07516059,42.31226866
1300820000,2019,4542.0,2017.0,6.0,2017.0,1003.0,0.0,-71.07702059,42.31534866
1300893000,2018,3527.0,2013.0,4.0,2013.0,700.0,0.0,-71.07456059,42.31385866
1300894000,2012,2551.0,2010.0,5.0,2010.0,-81.0,0.0,-71.07472059,42.31385866
1300920000,2013,3564.0,2011.0,6.0,2011.0,3564.0,0.0,-71.07347948,42.31347601
1300965000,2018,2318.0,2013.0,6.0,2013.0,189.0,0.0,-71.07295059,42.31418866
1300971000,2018,2211.0,2009.0,6.0,2009.0,0.0,0.0,-71.07270059,42.31449866
1300989000,2018,4145.0,2016.0,7.0,2016.0,51.0,0.0,-71.07150059,42.31545866
1301327000,2023,3084.0,2020.0,9.0,2020.0,0.0,0.0,-71.06687059,42.31615866
1301370000,2018,2530.0,2016.0,3.0,2016.0,-16.0,0.0,-71.06312229,42.31576537
1301375000,2020,8520.0,2016.0,6.0,2016.0,4718.0,0.0,-71.06367256,42.31503704
1301431000,2022,3102.0,2018.0,6.0,2018.0,0.0,0.0,-71.06235059,42.31420866
1301441000,2022,3108.0,2019.0,4.0,2019.0,0.0,0.0,-71.06189059,42.31537866
1301451000,2019,3647.0,2016.0,7.0,2016.0,32.0,0.0,-71.06149059,42.31467866
1301472000,2022,2872.4,2019.0,5.0,2019.0,80.40000000000009,0.0,-71.06076059,42.31283866
